RHEA_ID	DIRECTION	MASTER_ID	ID
12888	BI	12885	R04082
12892	BI	12889	R02640
12896	BI	12893	R02265
12900	BI	12897	R07202
12904	BI	12901	R02458
12908	BI	12905	R00883
12912	BI	12909	R03071
12916	BI	12913	R07770
12920	BI	12917	R03820
12924	BI	12921	R00830
12932	BI	12929	R00271
12936	BI	12933	R02262
12940	BI	12937	R01318
12944	BI	12941	R05985
12948	BI	12945	R07311
12952	BI	12949	R03671
12960	BI	12957	R00628
12964	BI	12961	R01365
12968	BI	12965	R01980
12972	BI	12969	R00857
12976	BI	12973	R00127
12980	BI	12977	R01882
12984	BI	12981	R08678
12988	BI	12985	R05988
12992	BI	12989	R01328
12996	BI	12993	R09252
13000	BI	12997	R03727
13004	BI	13001	R07583
13008	BI	13005	R04713
13012	BI	13009	R01959
13016	BI	13013	R02791
13020	BI	13017	R00966
13024	BI	13021	R05274
13032	BI	13029	R01203
13036	BI	13033	R03240
13040	BI	13037	R00088
13044	BI	13041	R03673
13048	BI	13045	R06291
13052	BI	13049	R01482
13056	BI	13053	R00692
13060	BI	13057	R02597
13064	BI	13061	R11946
13068	BI	13065	R00086
13072	BI	13069	R01468
13076	BI	13073	R03409
13080	BI	13077	R03841
13084	BI	13081	R01076
13088	BI	13085	R04364
13092	BI	13089	R05712
13096	BI	13093	R01500
13100	BI	13097	R10208
13104	BI	13101	R02914
13108	BI	13105	R01043
13112	BI	13109	R04046
13116	BI	13113	R04047
13120	BI	13117	R03134
13124	BI	13121	R02412
13128	BI	13125	R01111
13132	BI	13129	R05324
13136	BI	13133	R01018
13140	BI	13137	R05760
13144	BI	13141	R01181
13148	BI	13145	R10829
13152	BI	13149	R00282
13156	BI	13153	R01749
13160	BI	13157	R01750
13164	BI	13161	R01465
13168	BI	13165	R07348
13172	BI	13169	R01087
13176	BI	13173	R05746
13180	BI	13177	R05378
13188	BI	13185	R00084
13192	BI	13189	R03467
13196	BI	13193	R07405
13200	BI	13197	R05775
13204	BI	13201	R00565
13208	BI	13205	R08845
13212	BI	13209	R00295
13216	BI	13213	R00714
13220	BI	13217	R00713
13224	BI	13221	R02246
13236	BI	13233	R02147
13240	BI	13237	R00768
13244	BI	13241	R03161
13248	BI	13245	R00479
13252	BI	13249	R05689
13256	BI	13253	R03428
13264	BI	13261	R03173
13268	BI	13265	R03477
13272	BI	13269	R01498
13276	BI	13273	R04643
13280	BI	13277	R09592
13284	BI	13281	R04203
13288	BI	13285	R00894
13292	BI	13289	R01007
13296	BI	13293	R02224
13300	BI	13297	R02223
13304	BI	13301	R02693
13308	BI	13305	R02380
13312	BI	13309	R05699
13316	BI	13313	R00610
13320	BI	13317	R01751
13324	BI	13321	R01211
13328	BI	13325	R00421
13332	BI	13329	R03748
13336	BI	13333	R02730
13340	BI	13337	R01484
13344	BI	13341	R12238
13348	BI	13345	R09844
13352	BI	13349	R05759
13356	BI	13353	R11621
13360	BI	13357	R01608
13364	BI	13361	R00856
13372	BI	13369	R08199
13376	BI	13373	R04350
13380	BI	13377	R00949
13384	BI	13381	R00393
13388	BI	13385	R03747
13392	BI	13389	R02488
13396	BI	13393	R01724
13400	BI	13397	R05099
13404	BI	13401	R03265
13408	BI	13405	R01617
13412	BI	13409	R07605
13416	BI	13413	R01568
13420	BI	13417	R03787
13424	BI	13421	R02769
13428	BI	13425	R02171
13432	BI	13429	R05633
13436	BI	13433	R02485
13440	BI	13437	R02256
13444	BI	13441	R07634
13448	BI	13445	R02973
13452	BI	13449	R08198
13456	BI	13453	R02159
13460	BI	13457	R01701
13468	BI	13465	R04211
13472	BI	13469	R01413
13476	BI	13473	R00675
13480	BI	13477	R00676
13484	BI	13481	R03659
13488	BI	13485	R04338
13492	BI	13489	R02880
13500	BI	13497	R05661
13504	BI	13501	R04385
13508	BI	13505	R01022
13512	BI	13509	R00416
13516	BI	13513	R01869
13520	BI	13517	R02094
13524	BI	13521	R00197
13528	BI	13525	R03818
13532	BI	13529	R03693
13536	BI	13533	R02915
13540	BI	13537	R05768
13548	BI	13545	R10562
13552	BI	13549	R01951
13556	BI	13553	R01092
13560	BI	13557	R00497
13564	BI	13561	R02755
13568	BI	13565	R04042
13572	BI	13569	R04615
13576	BI	13573	R04343
13580	BI	13577	R02042
13584	BI	13581	R04291
13588	BI	13585	R01688
13592	BI	13589	R04138
13596	BI	13593	R02423
13600	BI	13597	R01418
13604	BI	13601	R07146
13608	BI	13605	R00068
13612	BI	13609	R05802
13616	BI	13613	R00764
13620	BI	13617	R01401
13624	BI	13621	R01824
13628	BI	13625	R05708
13632	BI	13629	R03114
13636	BI	13633	R07414
13640	BI	13637	R01142
13644	BI	13641	R01143
13648	BI	13645	R01521
13652	BI	13649	R01520
13656	BI	13653	R05140
13660	BI	13657	R04450
13664	BI	13661	R03188
13668	BI	13665	R00434
13672	BI	13669	R03461
13676	BI	13673	R04733
13680	BI	13677	R01529
13684	BI	13681	R00380
13688	BI	13685	R05703
13692	BI	13689	R01044
13696	BI	13693	R02573
13700	BI	13697	R01051
13704	BI	13701	R01776
13708	BI	13705	R04619
13716	BI	13713	R02164
13720	BI	13717	R05688
13724	BI	13721	R03641
13728	BI	13725	R05332
13732	BI	13729	R07636
13736	BI	13733	R07349
13740	BI	13737	R07350
13744	BI	13741	R01376
13748	BI	13745	R09695
13752	BI	13749	R00333
13756	BI	13753	R00093
13760	BI	13757	R03213
13764	BI	13761	R00649
13768	BI	13765	R03523
13772	BI	13769	R01034
13776	BI	13773	R04690
13780	BI	13777	R01053
13784	BI	13781	R01259
13788	BI	13785	R02490
13796	BI	13793	R03908
13800	BI	13797	R01003
13804	BI	13801	R00858
13808	BI	13805	R02643
13812	BI	13809	R03799
13816	BI	13813	R03543
13820	BI	13817	R03511
13824	BI	13821	R12216
13828	BI	13825	R03397
13832	BI	13829	R03399
13836	BI	13833	R08197
13840	BI	13837	R05275
13844	BI	13841	R04123
13848	BI	13845	R03127
13852	BI	13849	R01577
13856	BI	13853	R02711
13860	BI	13857	R01006
13864	BI	13861	R01429
13868	BI	13865	R04502
13872	BI	13869	R01728
13876	BI	13873	R06301
13880	BI	13877	R01343
13884	BI	13881	R10911
13888	BI	13885	R03739
13892	BI	13889	R00160
13896	BI	13893	R00187
13900	BI	13897	R01715
13904	BI	13901	R05172
13908	BI	13905	R04493
13912	BI	13909	R02646
13916	BI	13913	R01467
13920	BI	13917	R02177
13928	BI	13925	R04567
13932	BI	13929	R01157
13936	BI	13933	R02368
13940	BI	13937	R01636
13944	BI	13941	R01059
13948	BI	13945	R03791
13952	BI	13949	R02002
13960	BI	13957	R07365
13964	BI	13961	R03877
13968	BI	13965	R01286
13972	BI	13969	R10537
13980	BI	13977	R00221
13984	BI	13981	R04698
13988	BI	13985	R01771
13992	BI	13989	R00955
13996	BI	13993	R04188
14000	BI	13997	R01210
14004	BI	14001	R03718
14008	BI	14005	R01001
14012	BI	14009	R08948
14016	BI	14013	R03987
14020	BI	14017	R02324
14024	BI	14021	R02374
14028	BI	14025	R02974
14032	BI	14029	R07229
14036	BI	14033	R03331
14040	BI	14037	R02893
14044	BI	14041	R03642
14048	BI	14045	R05165
14052	BI	14049	R06306
14056	BI	14053	R03254
14060	BI	14057	R05333
14064	BI	14061	R00368
14068	BI	14065	R02782
14072	BI	14069	R00871
14076	BI	14073	R04135
14080	BI	14077	R00907
14084	BI	14081	R02340
14092	BI	14089	R00372
14096	BI	14093	R00684
14100	BI	14097	R00695
14104	BI	14101	R04437
14108	BI	14105	R01248
14112	BI	14109	R01251
14116	BI	14113	R02248
14120	BI	14117	R04320
14124	BI	14121	R04711
14128	BI	14125	R00039
14132	BI	14129	R02793
14136	BI	14133	R05855
14140	BI	14137	R03700
14144	BI	14141	R05717
14148	BI	14145	R02575
14152	BI	14149	R06827
14156	BI	14153	R04451
14160	BI	14157	R00138
14164	BI	14161	R07363
14168	BI	14165	R00487
14172	BI	14169	R02402
14176	BI	14173	R01657
14180	BI	14177	R02985
14184	BI	14181	R03451
14188	BI	14185	R01377
14192	BI	14189	R07362
14196	BI	14193	R01508
14200	BI	14197	R00482
14204	BI	14201	R01898
14208	BI	14205	R02144
14212	BI	14209	R00502
14216	BI	14213	R02071
14220	BI	14217	R04120
14224	BI	14221	R01145
14228	BI	14225	R05283
14232	BI	14229	R01217
14236	BI	14233	R02242
14240	BI	14237	R05828
14248	BI	14245	R00087
14252	BI	14249	R03513
14256	BI	14253	R00336
14260	BI	14257	R03519
14264	BI	14261	R03861
14268	BI	14265	R02272
14272	BI	14269	R02364
14276	BI	14273	R01915
14280	BI	14277	R01446
14284	BI	14281	R00528
14288	BI	14285	R00853
14292	BI	14289	R04157
14296	BI	14293	R00300
14300	BI	14297	R03617
14304	BI	14301	R02992
14308	BI	14305	R03661
14316	BI	14313	R03746
14320	BI	14317	R03591
14324	BI	14321	R03592
14328	BI	14325	R03548
14332	BI	14329	R04173
14336	BI	14333	R07635
14340	BI	14337	R04476
14344	BI	14341	R00474
14348	BI	14345	R00736
14352	BI	14349	R04548
14356	BI	14353	R07125
14360	BI	14357	R00549
14368	BI	14365	R00484
14372	BI	14369	R01334
14376	BI	14373	R04807
14380	BI	14377	R00478
14384	BI	14381	R03177
14388	BI	14385	R01004
14392	BI	14389	R02789
14400	BI	14397	R04133
14404	BI	14401	R03716
14408	BI	14405	R07147
14412	BI	14409	R02467
14416	BI	14413	R03462
14420	BI	14417	R01620
14424	BI	14421	R04113
14428	BI	14425	R03469
14436	BI	14433	R09382
14440	BI	14437	R00447
14444	BI	14441	R03767
14448	BI	14445	R01310
14452	BI	14449	R06272
14456	BI	14453	R05681
14460	BI	14457	R03040
14464	BI	14461	R04359
14468	BI	14465	R03013
14472	BI	14469	R03889
14476	BI	14473	R10828
14480	BI	14477	R00392
14484	BI	14481	R07394
14488	BI	14485	R11837
14492	BI	14489	R03422
14496	BI	14493	R03446
14500	BI	14497	R07154
14504	BI	14501	R01283
14508	BI	14505	R01875
14512	BI	14509	R07186
14516	BI	14513	R04212
14520	BI	14517	R05772
14524	BI	14521	R03581
14528	BI	14525	R04080
14532	BI	14529	R01052
14536	BI	14533	R01884
14540	BI	14537	R04641
14544	BI	14541	R07296
14548	BI	14545	R01268
